Although this program will describe the degrees of freedom in the 
problem, it will do so using the typedef for the elements. This is 
not neccesarily human readable, but there is a solution.
Pipe your program's output through c++filt, with the argument -t.
e.g. "./two_d_multi_poisson | c++filt -t > ReadableOutput.txt".
 (Disregarding the quotes)


Classifying Global Equation Numbers
--------------------------------------------------------------------------------
Eqn: 0 | Value 0 of Node 0 in Problem's Only Mesh.
Eqn: 1 | Value 1 of Node 0 in Problem's Only Mesh.
Eqn: 2 | Value 2 of Node 0 in Problem's Only Mesh.
Eqn: 3 | Value 3 of Node 0 in Problem's Only Mesh.
Eqn: 4 | Value 4 of Node 0 in Problem's Only Mesh.
Eqn: 5 | Value 5 of Node 0 in Problem's Only Mesh.
Eqn: 6 | Value 6 of Node 0 in Problem's Only Mesh.
Eqn: 7 | Value 7 of Node 0 in Problem's Only Mesh.
Eqn: 8 | Value 8 of Node 0 in Problem's Only Mesh.
Eqn: 9 | Value 0 of Node 1 in Problem's Only Mesh.
Eqn: 10 | Value 1 of Node 1 in Problem's Only Mesh.
Eqn: 11 | Value 2 of Node 1 in Problem's Only Mesh.
Eqn: 12 | Value 3 of Node 1 in Problem's Only Mesh.
Eqn: 13 | Value 4 of Node 1 in Problem's Only Mesh.
Eqn: 14 | Value 5 of Node 1 in Problem's Only Mesh.
Eqn: 15 | Value 6 of Node 1 in Problem's Only Mesh.
Eqn: 16 | Value 7 of Node 1 in Problem's Only Mesh.
Eqn: 17 | Value 0 of Node 2 in Problem's Only Mesh.
Eqn: 18 | Value 1 of Node 2 in Problem's Only Mesh.
Eqn: 19 | Value 2 of Node 2 in Problem's Only Mesh.
Eqn: 20 | Value 3 of Node 2 in Problem's Only Mesh.
Eqn: 21 | Value 4 of Node 2 in Problem's Only Mesh.
Eqn: 22 | Value 5 of Node 2 in Problem's Only Mesh.
Eqn: 23 | Value 6 of Node 2 in Problem's Only Mesh.
Eqn: 24 | Value 7 of Node 2 in Problem's Only Mesh.
Eqn: 25 | Value 0 of Node 3 in Problem's Only Mesh.
Eqn: 26 | Value 1 of Node 3 in Problem's Only Mesh.
Eqn: 27 | Value 2 of Node 3 in Problem's Only Mesh.
Eqn: 28 | Value 3 of Node 3 in Problem's Only Mesh.
Eqn: 29 | Value 4 of Node 3 in Problem's Only Mesh.
Eqn: 30 | Value 5 of Node 3 in Problem's Only Mesh.
Eqn: 31 | Value 6 of Node 3 in Problem's Only Mesh.
Eqn: 32 | Value 7 of Node 3 in Problem's Only Mesh.
Eqn: 33 | Value 0 of Node 4 in Problem's Only Mesh.
Eqn: 34 | Value 1 of Node 4 in Problem's Only Mesh.
Eqn: 35 | Value 2 of Node 4 in Problem's Only Mesh.
Eqn: 36 | Value 3 of Node 4 in Problem's Only Mesh.
Eqn: 37 | Value 4 of Node 4 in Problem's Only Mesh.
Eqn: 38 | Value 5 of Node 4 in Problem's Only Mesh.
Eqn: 39 | Value 6 of Node 4 in Problem's Only Mesh.
Eqn: 40 | Value 7 of Node 4 in Problem's Only Mesh.
Eqn: 41 | Value 0 of Node 5 in Problem's Only Mesh.
Eqn: 42 | Value 1 of Node 5 in Problem's Only Mesh.
