ZONE I=5, J=5
0.4 0.075 1 -2.87651e-11 7.2 1 0 0 
0.3 0.1 1 -6.99269e-11 8.4 1 0 0 
0.325 0.1 1 -5.75258e-11 8.1 1 0 0 
0.35 0.1 1 -4.81345e-11 7.8 1 0 0 
0.375 0.1 1 -4.17574e-11 7.5 1 0 0 
0.4 0.1 1 -3.8393e-11 7.2 1 0 0 
ZONE I=5, J=5
0.4 0 1 1.12503e-13 7.2 1 0 0 
0.425 0 1 -1.5099e-13 6.9 1 0 0 
0.45 0 1 -2.77112e-13 6.6 1 0 0 
0.475 0 1 -2.71487e-13 6.3 1 0 0 
0.5 0 1 -1.21977e-13 6 1 0 0 
0.4 0.025 1 -9.5118e-12 7.2 1 0 0 
0.425 0.025 1 -8.60882e-12 6.9 1 0 0 
0.45 0.025 1 -7.75676e-12 6.6 1 0 0 
0.475 0.025 1 -6.95621e-12 6.3 1 0 0 
0.5 0.025 1 -6.20896e-12 6 1 0 0 
0.4 0.05 1 -1.91385e-11 7.2 1 0 0 
0.425 0.05 1 -1.70643e-11 6.9 1 0 0 
0.45 0.05 1 -1.52317e-11 6.6 1 0 0 
0.475 0.05 1 -1.3643e-11 6.3 1 0 0 
0.5 0.05 1 -1.22965e-11 6 1 0 0 
0.4 0.075 1 -2.87651e-11 7.2 1 0 0 
0.425 0.075 1 -2.55212e-11 6.9 1 0 0 
0.45 0.075 1 -2.27089e-11 6.6 1 0 0 
0.475 0.075 1 -2.03304e-11 6.3 1 0 0 
0.5 0.075 1 -1.83841e-11 6 1 0 0 
0.4 0.1 1 -3.8393e-11 7.2 1 0 0 
0.425 0.1 1 -3.39752e-11 6.9 1 0 0 
0.45 0.1 1 -3.01839e-11 6.6 1 0 0 
0.475 0.1 1 -2.70125e-11 6.3 1 0 0 
0.5 0.1 1 -2.44711e-11 6 1 0 0 
ZONE I=5, J=5
0.5 0 1 -1.21977e-13 6 1 0 0 
0.525 0 1 -1.27528e-13 5.7 1 0 0 
0.55 0 1 -1.24345e-13 5.4 1 0 0 
0.575 0 1 -1.06877e-13 5.1 1 0 0 
0.6 0 1 -7.10543e-14 4.8 1 0 0 
0.5 0.025 1 -6.20778e-12 6 1 0 0 
0.525 0.025 1 -5.60794e-12 5.7 1 0 0 
0.55 0.025 1 -5.06143e-12 5.4 1 0 0 
0.575 0.025 1 -4.5605e-12 5.1 1 0 0 
0.6 0.025 1 -4.11049e-12 4.8 1 0 0 
0.5 0.05 1 -1.22965e-11 6 1 0 0 
0.525 0.05 1 -1.10908e-11 5.7 1 0 0 
0.55 0.05 1 -9.99911e-12 5.4 1 0 0 
0.575 0.05 1 -9.01856e-12 5.1 1 0 0 
0.6 0.05 1 -8.14993e-12 4.8 1 0 0 
0.5 0.075 1 -1.83841e-11 6 1 0 0 
0.525 0.075 1 -1.65706e-11 5.7 1 0 0 
0.55 0.075 1 -1.49368e-11 5.4 1 0 0 
0.575 0.075 1 -1.34772e-11 5.1 1 0 0 
0.6 0.075 1 -1.21894e-11 4.8 1 0 0 
0.5 0.1 1 -2.44711e-11 6 1 0 0 
0.525 0.1 1 -2.20567e-11 5.7 1 0 0 
0.55 0.1 1 -1.98762e-11 5.4 1 0 0 
0.575 0.1 1 -1.79329e-11 5.1 1 0 0 
0.6 0.1 1 -1.62264e-11 4.8 1 0 0 
ZONE I=5, J=5
0.6 0 1 -7.10543e-14 4.8 1 0 0 
0.625 0 1 -7.26086e-14 4.5 1 0 0 
0.65 0 1 -6.63173e-14 4.2 1 0 0 
0.675 0 1 -5.63993e-14 3.9 1 0 0 
0.7 0 1 -4.14483e-14 3.6 1 0 0 
0.6 0.025 1 -4.11049e-12 4.8 1 0 0 
0.625 0.025 1 -3.71535e-12 4.5 1 0 0 
0.65 0.025 1 -3.34666e-12 4.2 1 0 0 
0.675 0.025 1 -3.00546e-12 3.9 1 0 0 
0.7 0.025 1 -2.68704e-12 3.6 1 0 0 
0.6 0.05 1 -8.14993e-12 4.8 1 0 0 
0.625 0.05 1 -7.35848e-12 4.5 1 0 0 
0.65 0.05 1 -6.62581e-12 4.2 1 0 0 
0.675 0.05 1 -5.95198e-12 3.9 1 0 0 
0.7 0.05 1 -5.33381e-12 3.6 1 0 0 
0.6 0.075 1 -1.21894e-11 4.8 1 0 0 
0.625 0.075 1 -1.10001e-11 4.5 1 0 0 
0.65 0.075 1 -9.90497e-12 4.2 1 0 0 
0.675 0.075 1 -8.89688e-12 3.9 1 0 0 
0.7 0.075 1 -7.98058e-12 3.6 1 0 0 
0.6 0.1 1 -1.62264e-11 4.8 1 0 0 
0.625 0.1 1 -1.46477e-11 4.5 1 0 0 
0.65 0.1 1 -1.31829e-11 4.2 1 0 0 
0.675 0.1 1 -1.18447e-11 3.9 1 0 0 
0.7 0.1 1 -1.06285e-11 3.6 1 0 0 
ZONE I=5, J=5
0.7 0 1 -4.20404e-14 3.6 1 0 0 
0.725 0 1 -4.18554e-14 3.3 1 0 0 
0.75 0 1 -3.4935e-14 3 1 0 0 
0.775 0 1 -2.72375e-14 2.7 1 0 0 
0.8 0 1 -1.77636e-14 2.4 1 0 0 
0.7 0.025 1 -2.68704e-12 3.6 1 0 0 
0.725 0.025 1 -2.39912e-12 3.3 1 0 0 
0.75 0.025 1 -2.1263e-12 3 1 0 0 
0.775 0.025 1 -1.86991e-12 2.7 1 0 0 
0.8 0.025 1 -1.62714e-12 2.4 1 0 0 
0.7 0.05 1 -5.33381e-12 3.6 1 0 0 
0.725 0.05 1 -4.75964e-12 3.3 1 0 0 
0.75 0.05 1 -4.21766e-12 3 1 0 0 
0.775 0.05 1 -3.70992e-12 2.7 1 0 0 
0.8 0.05 1 -3.23475e-12 2.4 1 0 0 
0.7 0.075 1 -7.98058e-12 3.6 1 0 0 
0.725 0.075 1 -7.12053e-12 3.3 1 0 0 
0.75 0.075 1 -6.30903e-12 3 1 0 0 
0.775 0.075 1 -5.55023e-12 2.7 1 0 0 
