Although this program will describe the degrees of freedom in the 
problem, it will do so using the typedef for the elements. This is 
not neccesarily human readable, but there is a solution.
Pipe your program's output through c++filt, with the argument -t.
e.g. "./two_d_multi_poisson | c++filt -t > ReadableOutput.txt".
 (Disregarding the quotes)


Classifying Global Equation Numbers
--------------------------------------------------------------------------------
Eqn: 92 | Value 5 of Node 14 in Problem's Only Mesh.
Eqn: 93 | Value 0 of Node 15 in Problem's Only Mesh.
Eqn: 94 | Value 1 of Node 15 in Problem's Only Mesh.
Eqn: 95 | Value 2 of Node 15 in Problem's Only Mesh.
Eqn: 96 | Value 3 of Node 15 in Problem's Only Mesh.
Eqn: 97 | Value 4 of Node 15 in Problem's Only Mesh.
Eqn: 98 | Value 0 of Node 16 in Problem's Only Mesh.
Eqn: 99 | Value 1 of Node 16 in Problem's Only Mesh.
Eqn: 100 | Value 2 of Node 16 in Problem's Only Mesh.
Eqn: 101 | Value 3 of Node 16 in Problem's Only Mesh.
Eqn: 102 | Value 4 of Node 16 in Problem's Only Mesh.
Eqn: 103 | Value 5 of Node 16 in Problem's Only Mesh.
Eqn: 104 | Value 0 of Node 17 in Problem's Only Mesh.
Eqn: 105 | Value 1 of Node 17 in Problem's Only Mesh.
Eqn: 106 | Value 2 of Node 17 in Problem's Only Mesh.
Eqn: 107 | Value 3 of Node 17 in Problem's Only Mesh.
Eqn: 108 | Value 4 of Node 17 in Problem's Only Mesh.
Eqn: 109 | Value 5 of Node 17 in Problem's Only Mesh.
Eqn: 110 | Value 6 of Node 17 in Problem's Only Mesh.
Eqn: 111 | Value 0 of Node 18 in Problem's Only Mesh.
Eqn: 112 | Value 1 of Node 18 in Problem's Only Mesh.
Eqn: 113 | Value 2 of Node 18 in Problem's Only Mesh.
Eqn: 114 | Value 3 of Node 18 in Problem's Only Mesh.
Eqn: 115 | Value 4 of Node 18 in Problem's Only Mesh.
Eqn: 116 | Value 5 of Node 18 in Problem's Only Mesh.
Eqn: 117 | Value 6 of Node 18 in Problem's Only Mesh.
Eqn: 118 | Value 0 of Node 19 in Problem's Only Mesh.
Eqn: 119 | Value 1 of Node 19 in Problem's Only Mesh.
Eqn: 120 | Value 2 of Node 19 in Problem's Only Mesh.
Eqn: 121 | Value 3 of Node 19 in Problem's Only Mesh.
